country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot
Croatia,regional,HR02,Pannonian Croatia,2,0.4930139720558882
Croatia,regional,HR03,Adriatic Croatia,2,0.5169660678642715
Croatia,regional,HR05,Zagreb,2,0.4849699398797595
Croatia,regional,HR06,Northern Croatia,2,0.4529058116232465
Cyprus,regional,CY0,Cyprus,2,0.31510934393638174
Czechia,regional,CZ01,Prague,2,0.622568093385214
Czechia,regional,CZ02,Central Bohemia,2,0.5953307392996109
Czechia,regional,CZ03,South-West,2,0.6345381526104418
Czechia,regional,CZ04,North-West,2,0.625
Czechia,regional,CZ05,North-East,2,0.61328125
Czechia,regional,CZ06,South-East,2,0.5936254980079682
Czechia,regional,CZ07,Central Moravia,2,0.536
Czechia,regional,CZ08,Moravian Silesia,2,0.6451612903225806
Denmark,regional,DK01,Capital (region),2,0.7207920792079208
Denmark,regional,DK02,Zealand,2,0.6992031872509961
Denmark,regional,DK03,South Denmark,2,0.6964285714285714
Denmark,regional,DK04,Central Jutland,2,0.7168316831683168
Denmark,regional,DK05,North Jutland,2,0.7157057654075547
Estonia,regional,EE0,Estonia,2,0.65067178502879075
Finland,regional,FI19,West Finland,2,0.8421955403087479
Finland,regional,FI1B,Helsinki-Uusimaa,2,0.8491295938104448
Finland,regional,FI1C,South Finland,2,0.8237232289950577
Finland,regional,FI1D,North and East Finland,2,0.8506876227897839
France,regional,FR1,Île-de-France,2,0.626
France,regional,FRB,Centre-Val de Loire,2,0.698
France,regional,FRC,Burgundy-Franche-Comté,2,0.6472945891783567
France,regional,FRD,Normandy,2,0.6646586345381527
France,regional,FRE,Hauts-de-France,2,0.6212424849699398
France,regional,FRF,Grand Est,2,0.6257545271629779
France,regional,FRG,Loire Region,2,0.6526104417670683
France,regional,FRH,Brittany ,2,0.6733870967741935
France,regional,FRI,New Aquitaine,2,0.5843373493975904
France,regional,FRJ,Occitania,2,0.588
France,regional,FRK,Auvergne-Rhône-Alpes,2,0.6096579476861167
France,regional,FRL,PACA,2,0.6167664670658682
France,regional,FRM,Corsica ,2,0.7142857142857143
Germany,regional,DE1,Baden-Württemberg,2,0.6194174757281553
Germany,regional,DE2,Bavaria,2,0.6353166986564299
Germany,regional,DE3,Berlin,2,0.6589147286821705
Germany,regional,DE4,Brandenburg,2,0.5826923076923077
Germany,regional,DE5,Bremen,2,0.6287625418060201
Germany,regional,DE6,Hamburg,2,0.6542239685658153
Germany,regional,DE7,Hessen,2,0.6271844660194175
Germany,regional,DE8,Mecklenburg-Vorpommern,2,0.5594541910331384
Germany,regional,DE9,Lower Saxony,2,0.6653771760154739
Germany,regional,DEA,North Rhine-Westphalia,2,0.6180422264875239
Germany,regional,DEB,Rhineland-Palatinate,2,0.6204238921001927
Germany,regional,DEC,Saarland,2,0.6450980392156863
Germany,regional,DED,Saxony,2,0.5919540229885057
Germany,regional,DEE,Saxony-Anhalt,2,0.5725490196078431
Germany,regional,DEF,Schleswig-Holstein,2,0.6628131021194605
Germany,regional,DEG,Thuringia,2,0.5968688845401174
Greece,regional,EL3,Attica,2,0.4831013916500994
Greece,regional,EL4,"Aegean Islands, Crete",2,0.5737051792828686
Greece,regional,EL5,North Greece,2,0.6427145708582834
Greece,regional,EL6,Central Greece,2,0.5358565737051793
Hungary,regional,HU1,Central Hungary,2,0.4819277108433735
Hungary,regional,HU2,Transdanubia ,2,0.4536290322580645
Hungary,regional,HU3,Great Plain and North,2,0.4979919678714859
Ireland,regional,IE04,Northern and Western,2,0.6130030959752322
Ireland,regional,IE05,Southern,2,0.5548245614035088
Ireland,regional,IE06,Eastern and Midland,2,0.518664047151277
